STATE_UT,DISTRICT,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Tamil Nadu,THIRUVARUR,3963,36,179
Maharashtra,WARDHA,3959,452,527
Uttar Pradesh,Muzaffarnagar,3952,370,848
Bihar,PURNEA,3950,103,504
Uttar Pradesh,SITAPUR,3934,499,775
Uttar Pradesh,Sitapur,3923,463,650
Tamil Nadu,NAGAPATTINAM,3919,74,217
Madhya Pradesh,SIHORE,3907,305,361
Assam,Sonitpur,3906,518,584
Assam,Darrang,3901,1064,830
Uttar Pradesh,Varanasi,3900,543,559
Bihar,Araria,3898,59,399
Rajasthan,DHOLPUR,3889,320,280
Maharashtra,Nasik Commr.,3883,336,381
Bihar,Gopalganj,3879,209,790
Haryana,BHIWANI,3877,349,471
Madhya Pradesh,Dindori,3851,378,380
Rajasthan,Churu,3847,538,325
Karnataka,DAVANAGERE,3843,346,354
Odisha,ANGUL,3842,427,781
Gujarat,Arvalli,3841,95,111
West Bengal,Jalpaiguri,3832,863,687
Rajasthan,Bundi,3823,588,494
Haryana,Rohtak,3820,350,446
Tamil Nadu,Ramnathapuram,3819,47,216
Bihar,GOPALGANJ,3811,187,271
Gujarat,Surat Rural,3810,145,207
Madhya Pradesh,KATNI,3803,352,435
Telangana,Warangal Urban,3792,407,221
Madhya Pradesh,GUNA,3788,321,406
Madhya Pradesh,Narsinghpur,3777,445,446
Madhya Pradesh,MANDSAUR,3772,384,336
Madhya Pradesh,Shajapur,3754,344,314
Odisha,PURI,3753,324,459
Gujarat,Jamnagar,3752,292,213
West Bengal,Birbhum,3749,601,677
Uttar Pradesh,MORADABAD,3747,552,654
Tamil Nadu,SIVAGANGAI,3742,142,322
Tamil Nadu,Sivagangai,3738,82,256
Assam,Jorhat,3732,600,406
Rajasthan,CHURU,3725,518,257
Tamil Nadu,Pudukottai,3720,78,176
Bihar,KATIHAR,3693,207,407
Maharashtra,Wardha,3687,361,462
Gujarat,PATAN,3677,241,213
Madhya Pradesh,Katni,3670,358,544
Andhra Pradesh,Tirupathi Urban,3651,279,221
Madhya Pradesh,NARSINGHPUR,3649,433,442
Bihar,AURANGABAD,3648,225,558
Maharashtra,Thane Rural,3641,385,653
Uttar Pradesh,BIJNOR,3639,287,659
Karnataka,Davanagere,3635,349,473
Jharkhand,BOKARO,3634,324,239
Madhya Pradesh,HOSHANGABAD,3630,342,448
Gujarat,Kheda,3614,127,178
Maharashtra,Parbhani,3606,436,445
Bihar,BHAGALPUR,3590,225,465
Gujarat,Bhavnagar,3589,247,291
Uttar Pradesh,KHIRI,3587,343,625
Tamil Nadu,RAMNATHAPURAM,3583,57,266
Madhya Pradesh,Sidhi,3576,225,306
Maharashtra,PARBHANI,3573,453,482
Gujarat,RAJKOT COMMR.,3572,291,205
Haryana,SONIPAT,3570,363,387
Gujarat,PANCHMAHAL,3563,279,260
Punjab,CP Ludhiana,3546,391,629
Uttar Pradesh,SAHARANPUR,3541,356,599
Assam,DIBRUGARH,3529,455,504
Gujarat,Rajkot City,3516,354,333
Madhya Pradesh,Balaghat,3507,431,598
Madhya Pradesh,RATLAM,3497,271,370
Jharkhand,Giridih,3491,313,387
Madhya Pradesh,Seoni,3484,279,424
Haryana,Sirsa,3482,316,312
Assam,JORHAT,3478,503,516
Uttar Pradesh,Bijnor,3475,281,680
Chhattisgarh,JANJGIR,3470,377,509
Uttar Pradesh,Khiri,3465,342,607
Madhya Pradesh,Tikamgarh,3458,288,394
Maharashtra,LATUR,3443,457,384
Gujarat,VADODARA RURAL,3439,164,244
Uttar Pradesh,Unnao,3438,555,752
Bihar,Katihar,3415,138,388
Gujarat,Anand,3415,155,202
Bihar,Nawadah,3408,131,301
Chhattisgarh,Janjgir,3401,322,449
Odisha,Sambalpur,3391,252,556
Tamil Nadu,PUDUKOTTAI,3379,81,198
Assam,SIBSAGAR,3373,429,482
Maharashtra,Jalna,3372,528,488
Madhya Pradesh,Ashok Nagar,3366,342,390
Madhya Pradesh,BETUL,3363,458,543
West Bengal,Alipurduar,3355,537,478
Maharashtra,SANGLI,3353,382,417
Chhattisgarh,RAIGARH,3350,284,563
Gujarat,Kachchh East(G),3349,226,220
Madhya Pradesh,Singrauli,3349,308,390
Haryana,Yamunanagar,3347,303,614
Maharashtra,Amravati Commr.,3338,280,331
Madhya Pradesh,KHANDWA,3336,342,471
Rajasthan,BARAN,3333,564,461
Uttar Pradesh,PRATAPGARH,3311,286,679
Assam,KAMRUP,3310,460,411
Assam,Tinsukia,3309,299,460
Karnataka,Ballari,3304,253,370
Haryana,PANIPAT,3299,263,383
Rajasthan,BUNDI,3292,508,339
Bihar,Buxar,3284,148,228
Rajasthan,Jodhpur West,3281,328,320
Karnataka,BELLARY,3269,198,351
Chhattisgarh,Rajnandgaon,3255,197,355
Haryana,Palwal,3247,354,423
Gujarat,SURAT RURAL,3242,149,166
Andhra Pradesh,VISAKHA RURAL,3238,468,295
Tamil Nadu,Madurai City,3226,99,262
Chandigarh,Chandigarh,3221,291,467
Madhya Pradesh,TIKAMGARH,3196,266,309
Punjab,CP LUDHIANA,3194,364,497
Bihar,Saharsa,3189,103,316
Kerala,Wayanadu,3182,311,275
Odisha,Jajpur,3174,428,615
Maharashtra,JALNA,3173,574,431
Jharkhand,Bokaro,3145,268,263
Maharashtra,Mumbai Railway,3141,60,665
Maharashtra,DHULE,3136,341,356
