RECORD_ID,STATE/UT,DISTRICT,YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED
BIHAR_MADHUBANI_2001_1,BIHAR,MADHUBANI,2001,120,120,0.004485852311939268,0.012422360248447204,932,225,20,199,0.32160110420979987,0.07763975155279502,0.012077294685990338,0.005866114561766736,0.0
BIHAR_MOTIHARI_2001_1,BIHAR,MOTIHARI,2001,232,231,0.011334363730036065,0.02575991756826378,779,485,155,388,0.20066975785677485,0.12493560020607934,0.02936630602782071,0.020350334878928386,0.0
BIHAR_MUNGER_2001_1,BIHAR,MUNGER,2001,103,103,0.0062535531552018195,0.025582717453098352,579,249,29,230,0.3291642978965321,0.14155770324047753,0.028993746446844798,0.01648664013644116,0.0
BIHAR_MUZAFFARPUR_2001_1,BIHAR,MUZAFFARPUR,2001,483,477,0.01732732019938286,0.026821742226441965,815,823,162,283,0.19344884880132923,0.19534773320674104,0.036316164253501065,0.03204367434132447,0.0
BIHAR_MUZAFFARPUR_RLY._2001_1,BIHAR,MUZAFFARPUR RLY.,2001,12,12,0.0037105751391465678,0.00927643784786642,97,340,22,14,0.17996289424860853,0.6307977736549165,0.02411873840445269,0.027829313543599257,0.0
BIHAR_NALANDA_2001_1,BIHAR,NALANDA,2001,283,281,0.011494252873563218,0.03620689655172414,1501,652,56,331,0.4313218390804598,0.18735632183908046,0.059770114942528735,0.027873563218390806,0.0
BIHAR_NAUGACHIA_2001_1,BIHAR,NAUGACHIA,2001,45,45,0.012259194395796848,0.050788091068301226,227,72,16,57,0.3975481611208406,0.12609457092819615,0.06304728546409807,0.03152364273204904,0.0
BIHAR_NAWADAH_2001_1,BIHAR,NAWADAH,2001,95,94,0.009894459102902375,0.027704485488126648,632,150,39,195,0.41688654353562005,0.09894459102902374,0.05079155672823219,0.020448548812664908,0.0
BIHAR_PATNA_2001_1,BIHAR,PATNA,2001,552,513,0.003145386766076421,0.022949673811742777,2319,2499,539,560,0.2701537744641193,0.29112301957129544,0.0505591798695247,0.04822926374650512,0.0
BIHAR_PATNA_RLY._2001_1,BIHAR,PATNA RLY.,2001,13,13,0.0008865248226950354,0.0026595744680851063,77,854,12,11,0.06826241134751773,0.7570921985815603,0.02127659574468085,0.018617021276595744,0.0
BIHAR_PURNEA_2001_1,BIHAR,PURNEA,2001,138,138,0.01897810218978102,0.031143552311435525,604,499,36,276,0.29391727493917275,0.24282238442822385,0.05060827250608273,0.04720194647201947,0.0
BIHAR_ROHTAS_2001_1,BIHAR,ROHTAS,2001,213,213,0.008440243079000676,0.024307900067521943,1174,607,91,418,0.3963538149898717,0.2049291019581364,0.04287643484132343,0.022957461174881837,0.0
BIHAR_SAHARSA_2001_1,BIHAR,SAHARSA,2001,67,67,0.011246485473289597,0.02530459231490159,590,98,47,162,0.5529522024367385,0.09184629803186505,0.033739456419868794,0.014058106841611996,0.0
BIHAR_SAMASTIPUR_2001_1,BIHAR,SAMASTIPUR,2001,195,157,0.006657323055360897,0.026278906797477224,870,435,72,357,0.30483531885073584,0.15241765942536792,0.03749124036440084,0.021373510861948143,0.0
BIHAR_SARAN_2001_1,BIHAR,SARAN,2001,275,275,0.005808887598024978,0.01887888469358118,1487,504,27,352,0.43189079291315713,0.14638396747022944,0.0397908800464711,0.02701132733081615,0.0
BIHAR_SHEIKHPURA_2001_1,BIHAR,SHEIKHPURA,2001,60,60,0.0037267080745341614,0.01987577639751553,184,132,14,139,0.22857142857142856,0.1639751552795031,0.034782608695652174,0.014906832298136646,0.0
BIHAR_SHEOHAR_2001_1,BIHAR,SHEOHAR,2001,29,29,0.02564102564102564,0.030303030303030304,65,36,1,38,0.15151515151515152,0.08391608391608392,0.04195804195804196,0.018648018648018648,0.0
BIHAR_SITAMARHI_2001_1,BIHAR,SITAMARHI,2001,92,92,0.012791991101223582,0.018909899888765295,321,218,58,225,0.17853170189099,0.12124582869855395,0.02836484983314794,0.008342602892102336,0.0
BIHAR_SIWAN_2001_1,BIHAR,SIWAN,2001,103,103,0.002157497303128371,0.02750809061488673,661,334,39,255,0.3565264293419633,0.18015102481121897,0.06256742179072276,0.05393743257820928,0.0
BIHAR_SUPAUL_2001_1,BIHAR,SUPAUL,2001,89,89,0.017931858936043037,0.015540944411237299,316,249,17,170,0.18888224745965332,0.1488344291691572,0.024506873879258817,0.023909145248057383,0.0
BIHAR_VAISHALI_2001_1,BIHAR,VAISHALI,2001,400,400,0.0049055678194751045,0.02207505518763797,1045,553,204,303,0.2563159185675742,0.13563895020848662,0.026980623007113073,0.010546970811871474,0.0
CHHATTISGARH_BALRAMPUR_2001_1,CHHATTISGARH,BALRAMPUR,2001,44,44,0.07203389830508475,0.00423728813559322,71,75,6,17,0.3008474576271186,0.3177966101694915,0.05508474576271186,0.046610169491525424,0.0
CHHATTISGARH_BILASPUR_2001_1,CHHATTISGARH,BILASPUR,2001,380,370,0.01584749655489205,0.004593477262287551,972,1282,28,183,0.223242994947175,0.2944418925126321,0.022737712448323382,0.008497932935231971,0.0
CHHATTISGARH_BIZAPUR_2001_1,CHHATTISGARH,BIZAPUR,2001,5,5,0.04597701149425287,0.0,40,20,0,7,0.45977011494252873,0.22988505747126436,0.10344827586206896,0.06896551724137931,0.0
