state_name,district,STATE_UT,DISTRICT,YEAR,TARGET_YEAR,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,PREDICTED_RISK_BAND,TOTAL_IPC,GIS_EXACT_MATCH
Madhya Pradesh,Rajgarh,Madhya Pradesh,RAJGARH,2013,2014,0.0694857527675638,MEDIUM,4433,True
Madhya Pradesh,Ratlam,Madhya Pradesh,RATLAM,2013,2014,0.0607177055604368,MEDIUM,3497,True
Madhya Pradesh,Rewa,Madhya Pradesh,REWA,2013,2014,0.0670524464706134,MEDIUM,5741,True
Madhya Pradesh,Sagar,Madhya Pradesh,SAGAR,2013,2014,0.0851359732872099,MEDIUM,8016,True
Madhya Pradesh,Satna,Madhya Pradesh,SATNA,2013,2014,0.0735196241731317,MEDIUM,6232,True
Madhya Pradesh,Seoni,Madhya Pradesh,SEONI,2013,2014,0.0871367751777059,HIGH,2632,True
Madhya Pradesh,Shahdol,Madhya Pradesh,SHAHDOL,2013,2014,0.0986506645834397,HIGH,4344,True
Madhya Pradesh,Shajapur,Madhya Pradesh,SHAJAPUR,2013,2014,0.0696406048447373,MEDIUM,2523,True
Madhya Pradesh,Sheopur,Madhya Pradesh,SHEOPUR,2013,2014,0.1109116295857093,HIGH,1409,True
Madhya Pradesh,Shivpuri,Madhya Pradesh,SHIVPURI,2013,2014,0.0754649946511578,MEDIUM,4772,True
Madhya Pradesh,Sidhi,Madhya Pradesh,SIDHI,2013,2014,0.0708333527671827,MEDIUM,2653,True
