STATE_UT,DISTRICT,YEAR,TOTAL_IPC,GIS_EXACT_MATCH
Madhya Pradesh,Katni,2014,3670,True
Madhya Pradesh,Khandwa,2014,4011,False
Madhya Pradesh,Khargone,2014,4533,True
Madhya Pradesh,Mandla,2014,2220,True
Madhya Pradesh,Mandsaur,2014,5565,True
Madhya Pradesh,Morena,2014,5944,True
Madhya Pradesh,Narsinghpur,2014,3777,True
Madhya Pradesh,Neemuch,2014,2986,True
Madhya Pradesh,Panna,2014,2063,True
Madhya Pradesh,Raisen,2014,5204,True
Madhya Pradesh,Rajgarh,2014,5529,True
Madhya Pradesh,Ratlam,2014,4560,True
Madhya Pradesh,Rewa,2014,6678,True
Madhya Pradesh,Sagar,2014,7674,True
Madhya Pradesh,Satna,2014,7539,True
Madhya Pradesh,Sehore,2014,5006,True
Madhya Pradesh,Seoni,2014,3484,True
Madhya Pradesh,Shahdol,2014,5240,True
Madhya Pradesh,Shajapur,2014,3754,True
Madhya Pradesh,Sheopur,2014,1578,True
Madhya Pradesh,Shivpuri,2014,5836,True
Madhya Pradesh,Sidhi,2014,3576,True
Madhya Pradesh,Singrauli,2014,3349,True
Madhya Pradesh,Tikamgarh,2014,3458,True
Madhya Pradesh,Ujjain,2014,9141,True
Madhya Pradesh,Umaria,2014,2172,True
Madhya Pradesh,Vidisha,2014,6009,True
Maharashtra,Ahmednagar,2014,6957,True
Maharashtra,Akola,2014,4433,True
Maharashtra,Amravati Commr.,2014,3338,False
Maharashtra,Amravati Rural,2014,6948,False
Maharashtra,Aurangabad Commr.,2014,4821,False
Maharashtra,Aurangabad Rural,2014,4237,False
Maharashtra,Beed,2014,4864,True
Maharashtra,Bhandara,2014,2003,True
Maharashtra,Buldhana,2014,4453,True
Maharashtra,Chandrapur,2014,4441,True
Maharashtra,Dhule,2014,2818,True
Maharashtra,Gadchiroli,2014,875,True
Maharashtra,Gondia,2014,1836,True
Maharashtra,Hingoli,2014,1761,True
Maharashtra,Jalgaon,2014,6531,True
Maharashtra,Jalna,2014,3372,True
Maharashtra,Kolhapur,2014,4942,True
Maharashtra,Latur,2014,4070,True
Maharashtra,Mumbai Commr.,2014,40361,False
Maharashtra,Mumbai Railway,2014,3141,False
Maharashtra,Nagpur Commr.,2014,10359,False
Maharashtra,Nagpur Railway,2014,1768,False
Maharashtra,Nagpur Rural,2014,4564,False
Maharashtra,Nanded,2014,4600,True
Maharashtra,Nandurbar,2014,1425,True
Maharashtra,Nasik Commr.,2014,3883,False
Maharashtra,Nasik Rural,2014,6832,False
Maharashtra,Navi Mumbai,2014,5903,False
Maharashtra,Osmanabad,2014,2825,True
Maharashtra,Palghar,2014,4692,True
Maharashtra,Parbhani,2014,3606,True
Maharashtra,Pune Commr.,2014,14468,False
Maharashtra,Pune Railway,2014,676,False
Maharashtra,Pune Rural,2014,10334,False
Maharashtra,Raigad,2014,2601,True
Maharashtra,Ratnagiri,2014,1568,True
Maharashtra,Sangli,2014,5171,True
Maharashtra,Satara,2014,6062,True
Maharashtra,Sindhudurg,2014,789,True
Maharashtra,Solapur Commr.,2014,2186,False
Maharashtra,Solapur Rural,2014,6235,False
Maharashtra,Thane Commr.,2014,13227,False
Maharashtra,Thane Rural,2014,3641,False
Maharashtra,Wardha,2014,3687,True
Maharashtra,Washim,2014,2579,True
Maharashtra,Yavatmal,2014,9951,True
Manipur,Bishnupur,2014,307,True
Manipur,C. I. D.,2014,0,False
Manipur,Chandel,2014,70,True
Manipur,Churachandpur,2014,130,True
Manipur,Imphal East,2014,645,True
Manipur,Imphal West,2014,1417,True
Manipur,Senapati,2014,121,True
Manipur,Tamenglong,2014,125,True
Manipur,Thoubal,2014,768,True
Manipur,Ukhrul,2014,58,True
Meghalaya,Garo Hills East,2014,159,False
Meghalaya,Garo Hills North,2014,165,False
Meghalaya,Garo Hills South,2014,167,False
Meghalaya,Garo Hills South West,2014,65,False
Meghalaya,Garo Hills West,2014,532,False
Meghalaya,Jaintia Hills East,2014,281,False
Meghalaya,Jaintia Hills West,2014,292,False
Meghalaya,Khasi Hills East,2014,1327,False
Meghalaya,Khasi Hills South West,2014,60,False
Meghalaya,Khasi Hills West,2014,271,False
Meghalaya,Ri-Bhoi,2014,360,True
Mizoram,Aizawl,2014,1059,True
Mizoram,Champhai,2014,238,True
Mizoram,Kolasib,2014,263,True
Mizoram,Lawngtlai,2014,98,True
Mizoram,Lunglei,2014,175,True
Mizoram,Mamit,2014,116,True
Mizoram,Saiha,2014,73,True
Mizoram,Serchhip,2014,98,True
Mizoram,Spl Traffic,2014,20,False
Nagaland,Dimapur,2014,512,True
Nagaland,Kiphire,2014,13,True
Nagaland,Kohima,2014,199,True
Nagaland,Longleng,2014,15,True
Nagaland,Mokokchung,2014,67,True
Nagaland,Mon,2014,39,True
Nagaland,Peren,2014,19,True
Nagaland,Phek,2014,75,True
Nagaland,Tuensang,2014,48,True
Nagaland,Wokha,2014,90,True
Nagaland,Zunheboto,2014,80,True
Odisha,Angul,2014,2950,False
Odisha,Balasore,2014,4305,False
Odisha,Baragarh,2014,1817,False
Odisha,Berhampur,2014,1709,False
Odisha,Bhadrak,2014,2807,True
Odisha,Bolangir,2014,2379,False
Odisha,Boudh,2014,596,True
Odisha,Cuttack,2014,2594,True
Odisha,DCP BBSR,2014,5478,False
Odisha,DCP CTC,2014,2920,False
Odisha,Deogarh,2014,901,True
Odisha,Dhenkanal,2014,2000,True
Odisha,Gajapati,2014,460,True
Odisha,Ganjam,2014,2580,True
Odisha,Jagatsinghpur,2014,2345,False
Odisha,Jajpur,2014,3174,False
Odisha,Jharsuguda,2014,1431,True
Odisha,Kalahandi,2014,2039,True
Odisha,Kandhamal,2014,1089,True
Odisha,Kendrapara,2014,2244,True
Odisha,Keonjhar,2014,2571,False
Odisha,Khurda,2014,2291,False
Odisha,Koraput,2014,1357,True
Odisha,Malkangiri,2014,420,True
Odisha,Mayurbhanj,2014,2793,True
Odisha,Nabarangpur,2014,1695,True
Odisha,Nayagarh,2014,1487,True
Odisha,Nuapada,2014,1175,True
Odisha,Puri,2014,4317,True
Odisha,Rayagada,2014,1199,True
Odisha,Rourkela,2014,2670,False
Odisha,SRP (Cuttack),2014,546,False
Odisha,SRP (Rourkela),2014,460,False
Odisha,Sambalpur,2014,3391,True
Odisha,Sonepur,2014,724,True
Odisha,Sundargarh,2014,1655,True
Puducherry,Karaikal,2014,671,True
Puducherry,Puducherry,2014,2913,False
Punjab,Amritsar Rural,2014,1396,False
Punjab,Barnala,2014,791,True
Punjab,Batala,2014,865,False
Punjab,Bathinda,2014,2117,True
Punjab,CP Amritsar,2014,1998,False
Punjab,CP Jalandhar,2014,2020,False
Punjab,CP Ludhiana,2014,3546,False
Punjab,Faridkot,2014,673,True
Punjab,Fatehgarh Sahib,2014,920,True
Punjab,Fazilka,2014,877,True
Punjab,Ferozepur,2014,1300,True
Punjab,G. R. P.,2014,372,False
Punjab,Gurdaspur,2014,781,True
Punjab,Hoshiarpur,2014,1637,True
Punjab,Jalandhar Rural,2014,1154,False
Punjab,Kapurthala,2014,1105,True
Punjab,Khanna,2014,1132,False
Punjab,Ludhiana Rural,2014,1081,False
Punjab,Mansa,2014,793,True
Punjab,Moga,2014,1172,True
Punjab,Muktsar,2014,781,False
Punjab,Pathankot,2014,582,True
Punjab,Patiala,2014,2774,True
Punjab,Ropar,2014,1122,False
Punjab,SAS Nagar,2014,2408,False
Punjab,SBS Nagar,2014,659,False
Punjab,Sangrur,2014,1935,True
Punjab,Tarn Taran,2014,1171,True
Rajasthan,Ajmer,2014,9197,True
Rajasthan,Alwar,2014,12742,True
Rajasthan,Banswara,2014,2789,True
Rajasthan,Baran,2014,4515,True
Rajasthan,Barmer,2014,4388,True
Rajasthan,Bharatpur,2014,10231,True
Rajasthan,Bhilwara,2014,7353,True
Rajasthan,Bikaner,2014,5441,True
Rajasthan,Bundi,2014,3823,True
Rajasthan,Chittorgarh,2014,5435,True
Rajasthan,Churu,2014,3847,True
Rajasthan,Dausa,2014,5584,True
Rajasthan,Dholpur,2014,4395,True
Rajasthan,Dungarpur,2014,2678,True
Rajasthan,G.R.P.Ajmer,2014,1313,False
Rajasthan,G.R.P.Jodhpur,2014,198,False
Rajasthan,Ganganagar,2014,6929,True
Rajasthan,Hanumangarh,2014,5021,True
