STATE_UT,DISTRICT,YEAR,TOTAL_IPC
Uttarakhand,Rudra Prayag,2014,97
Uttarakhand,Tehri Garhwal,2014,122
West Bengal,Alipurduar,2014,3355
West Bengal,Bankura,2014,3049
West Bengal,Birbhum,2014,3749
West Bengal,Coochbehar,2014,5142
West Bengal,Darjeeling,2014,2418
West Bengal,Hooghly,2014,8858
West Bengal,Jalpaiguri,2014,3832
West Bengal,Kolkata,2014,26668
West Bengal,Murshidabad,2014,14762
West Bengal,Nadia,2014,11790
West Bengal,Purulia,2014,1800
