CRIME_STATE,CRIME_DISTRICT,TOTAL_IPC,CANDIDATE_RANK,GIS_STATE,GIS_DISTRICT,SIMILARITY_SCORE
Karnataka,Mysuru City,2766,1,Karnataka,Mysuru,70.59
Karnataka,Mysuru City,2766,2,Karnataka,Tumakuru,42.11
Karnataka,Mysuru City,2766,3,Karnataka,Udupi,37.5
Karnataka,Mysuru District,4118,1,Karnataka,Mysuru,57.14
Karnataka,Mysuru District,4118,2,Karnataka,Tumakuru,34.78
Karnataka,Mysuru District,4118,3,Karnataka,Bengaluru Urban,33.33
Karnataka,Ramanagar,4249,1,Karnataka,Ramanagara,94.74
Karnataka,Ramanagar,4249,2,Karnataka,Chamarajanagara,66.67
Karnataka,Ramanagar,4249,3,Karnataka,Davangere,55.56
Karnataka,Shimoga,6043,1,Karnataka,Shivamogga,82.35
Karnataka,Shimoga,6043,2,Karnataka,Chikkamagaluru,47.62
Karnataka,Shimoga,6043,3,Karnataka,Chitradurga,44.44
Karnataka,Yadgiri,1496,1,Karnataka,Yadgir,92.31
Karnataka,Yadgiri,1496,2,Karnataka,Gadag,50.0
Karnataka,Yadgiri,1496,3,Karnataka,Haveri,46.15
Kerala,Alapuzha,11033,1,Kerala,Alappuzha,94.12
Kerala,Alapuzha,11033,2,Kerala,Malappuram,66.67
Kerala,Alapuzha,11033,3,Kerala,Palakkad,50.0
Kerala,Crime Branch,185,1,Kerala,Thrissur,30.0
Kerala,Crime Branch,185,2,Kerala,Malappuram,27.27
Kerala,Crime Branch,185,3,Kerala,Pathanamthitta,23.08
Kerala,Ernakulam Commr.,17088,1,Kerala,Ernakulam,75.0
Kerala,Ernakulam Commr.,17088,2,Kerala,Kollam,38.1
Kerala,Ernakulam Commr.,17088,3,Kerala,Thiruvananthapuram,36.36
Kerala,Ernakulam Rural,20185,1,Kerala,Ernakulam,75.0
Kerala,Ernakulam Rural,20185,2,Kerala,Malappuram,48.0
Kerala,Ernakulam Rural,20185,3,Kerala,Thiruvananthapuram,42.42
Kerala,Kasargod,5016,1,Kerala,Kasaragod,94.12
Kerala,Kasargod,5016,2,Kerala,Kannur,42.86
Kerala,Kasargod,5016,3,Kerala,Wayanad,40.0
Kerala,Kollam Commr.,9314,1,Kerala,Kollam,66.67
Kerala,Kollam Commr.,9314,2,Kerala,Kottayam,40.0
Kerala,Kollam Commr.,9314,3,Kerala,Ernakulam,38.1
Kerala,Kollam Rural,7910,1,Kerala,Kollam,66.67
Kerala,Kollam Rural,7910,2,Kerala,Malappuram,45.45
Kerala,Kollam Rural,7910,3,Kerala,Kannur,44.44
Kerala,Kozhikode Commr.,4665,1,Kerala,Kozhikode,75.0
Kerala,Kozhikode Commr.,4665,2,Kerala,Kollam,28.57
Kerala,Kozhikode Commr.,4665,3,Kerala,Kottayam,26.09
Kerala,Kozhikode Rural,5391,1,Kerala,Kozhikode,75.0
Kerala,Kozhikode Rural,5391,2,Kerala,Thiruvananthapuram,36.36
Kerala,Kozhikode Rural,5391,3,Kerala,Thrissur,34.78
Kerala,Railways,508,1,Kerala,Ernakulam,47.06
Kerala,Railways,508,2,Kerala,Wayanad,40.0
Kerala,Railways,508,3,Kerala,Palakkad,37.5
Kerala,Thrissur Commr.,6548,1,Kerala,Thrissur,72.73
Kerala,Thrissur Commr.,6548,2,Kerala,Thiruvananthapuram,37.5
Kerala,Thrissur Commr.,6548,3,Kerala,Ernakulam,26.09
Kerala,Thrissur Rural,20117,1,Kerala,Thrissur,72.73
Kerala,Thrissur Rural,20117,2,Kerala,Thiruvananthapuram,43.75
Kerala,Thrissur Rural,20117,3,Kerala,Pathanamthitta,28.57
Kerala,Trivandrum Commr.,12504,1,Kerala,Thiruvananthapuram,41.18
Kerala,Trivandrum Commr.,12504,2,Kerala,Thrissur,33.33
Kerala,Trivandrum Commr.,12504,3,Kerala,Ernakulam,32.0
Kerala,Trivandrum Rural,12024,1,Kerala,Thiruvananthapuram,47.06
