State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
West Bengal,16,Howrah Rural,2015.0,22.0,17.0,100.0,10.0,149.0,0.0,810.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1112.0
West Bengal,17,Jalpaiguri,2015.0,53.0,36.0,176.0,18.0,124.0,5.0,329.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,764.0
West Bengal,18,Jhargram Police District,2015.0,8.0,0.0,26.0,7.0,63.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,202.0
West Bengal,19,Kharagpur G. R. P.,2015.0,1.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
West Bengal,20,Kolkata,2015.0,33.0,19.0,194.0,15.0,461.0,262.0,876.0,2.0,29.0,0.0,0.0,0.0,0.0,28.0,1919.0
West Bengal,21,Malda,2015.0,60.0,71.0,241.0,26.0,179.0,6.0,577.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1175.0
West Bengal,22,Murshidabad,2015.0,210.0,345.0,298.0,41.0,255.0,18.0,1771.0,0.0,41.0,0.0,0.0,0.0,0.0,5.0,2984.0
West Bengal,23,Nadia,2015.0,69.0,163.0,395.0,57.0,80.0,2.0,1553.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,2331.0
West Bengal,24,Paschim Medinipur,2015.0,37.0,32.0,208.0,31.0,577.0,11.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1653.0
West Bengal,25,Purab Medinipur,2015.0,50.0,85.0,116.0,21.0,99.0,5.0,965.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,1355.0
West Bengal,26,Purulia,2015.0,24.0,21.0,30.0,6.0,292.0,1.0,161.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,538.0
West Bengal,27,Sealdah G. R. P.,2015.0,0.0,0.0,8.0,0.0,26.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
West Bengal,28,Siliguri G. R. P.,2015.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
West Bengal,29,Siliguri PC,2015.0,32.0,26.0,207.0,6.0,157.0,15.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,954.0
